Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",C_Rect_L24.0mm_W8.6mm_P22.50mm_MKT,4,1u,
"D1, D2, D3, D4, D5, D6, D7, D8",D_SMB,8,D,
"H1, H2, H3, H4",MountingHole_3.2mm_M3,4,MountingHole,
"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8",To-3P-SideMount,8,Q_NMOS_GDS,
R1,1206,1,5.1,
R2,1206,1,5.1,
R3,1206,1,5.1,
R4,1206,1,5.1,
R5,1206,1,5.1,
R6,1206,1,5.1,
R7,1206,1,5.1,
R8,1206,1,5.1,
R9,R_Axial_Power_L20.0mm_W6.4mm_P25.40mm,1,5.1k,
